detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879469	23208	54319	41	11,01	0	2022-07-13 10:42:28.040
879470	23208	54319	41	10,97	0	2022-07-13 10:42:33.057
879471	23208	54319	41	11,01	0	2022-07-13 10:42:38.073
879472	23208	54319	40	11,01	0	2022-07-13 10:42:43.103
879473	23208	54319	41	10,98	0	2022-07-13 10:42:48.137
879474	23208	54319	41	10,02	0	2022-07-13 10:42:53.213
879475	23208	54319	41	7,13	1	2022-07-13 10:42:58.183
879476	23208	54319	41	5,51	1	2022-07-13 10:43:03.213
879477	23208	54319	41	4,56	1	2022-07-13 10:43:08.230
879478	23208	54319	41	4,67	1	2022-07-13 10:43:13.247
879479	23208	54319	40	4,55	1	2022-07-13 10:43:18.293
879480	23208	54319	41	4,56	1	2022-07-13 10:43:23.323
879481	23208	54319	41	4,55	1	2022-07-13 10:43:28.543
879482	23208	54319	41	5,71	1	2022-07-13 10:43:33.573
879483	23208	54319	41	5,72	1	2022-07-13 10:43:39.073
879484	23208	54319	41	5,75	1	2022-07-13 10:43:50.137
879485	23208	54319	41	5,65	1	2022-07-13 10:43:58.107
879486	23208	54319	41	5,71	0	2022-07-13 10:43:58.480
879487	23208	54319	40	5,6	0	2022-07-13 10:43:59.310
879488	23208	54319	41	5,65	1	2022-07-13 10:44:03.513
879489	23208	54319	41	5,65	1	2022-07-13 10:44:08.530
879490	23208	54319	41	5,65	1	2022-07-13 10:44:13.560
879491	23208	54319	41	5,73	0	2022-07-13 10:44:18.577
879492	23208	54319	41	5,7	0	2022-07-13 10:44:23.607
879493	23208	54319	41	5,66	0	2022-07-13 10:44:28.653
879494	23208	54319	41	5,7	0	2022-07-13 10:44:33.653
879495	23208	54319	41	7,11	1	2022-07-13 10:44:38.687
879496	23208	54319	41	10,17	1	2022-07-13 10:44:43.717
879497	23208	54319	41	10,68	1	2022-07-13 10:44:48.733
879498	23208	54319	41	10,86	0	2022-07-13 10:44:53.750
879499	23208	54319	41	10,89	0	2022-07-13 10:44:58.780
